OmimID	Gene
138320	GPX1
138321	GPX3
138322	GPX4
138330	MGST1
138333	GSTM4
138335	-
138340	-
138350	GSTM1
138359	GSTA1
138360	GSTA2
138370	-
138380	GSTM2
138385	GSTM5
138390	GSTM3
138391	-
138400	GAPDH
138420	GPD1
138430	GPD2
138440	GART
138450	SHMT2
138470	CFB
138480	GLYB
138491	GLRA1
138492	GLRB
138500	-
138550	PYGB
138570	GYS1
138571	GYS2
138590	GYPE
138600	ORM1
138610	ORM2
138670	A1BG
138680	AHSG
138700	APOH
138710	-
138720	GP1BB
138750	GLO1
138760	HAGH
138770	-
138790	-
138800	-
138850	GNRHR
138890	GSC
138900	-
138920	-
138930	-
138945	GRN
138960	CSF2
138965	CXCL6
138970	CSF3
138971	CSF3R
138972	CEBPG
138981	CSF2RB
138990	-
139000	-
139080	SLC25A16
139090	-
139100	-
139110	CXCL2
139111	CXCL3
139130	GNB3
139139	NR4A1
139145	-
139150	RASA1
139160	GNAZ
139180	GNAI2P1
139185	GAS1
139190	GHRH
139191	GHRHR
139200	GC
139210	-
139220	-
139230	-
139240	GH2
139250	GH1
139255	MT3
139259	GSPT1
139260	GDA
139265	GMPR
139270	GUK1
139280	GUK2
139290	-
139300	-
139310	GNAI1
139311	GNAO1
139312	GNAL
139313	GNA11
139314	GNA15
139320	GNAS
139330	GNAT1
139340	GNAT2
139350	KRT1
139360	GNAI2
139370	GNAI3
139380	GNB1
139390	GNB2
139391	GNGT2
139392	GUCA2A
139393	-
139395	GNAT3
139396	GUCY1A3
139397	GUCY1B3
139400	-
139450	-
139500	-
139600	-
139605	HES1
139630	-
139650	-
139750	-
139800	-
139900	-
140000	-
140050	GZMA
140090	-
140100	HP
140210	HPR
140300	-
140340	-
140350	-
140400	-
140450	-
140500	-
140550	HSPA1A
140555	HSPA6
140556	HSPA7
140559	HSPA1L
140560	HSPA2
140570	-
140571	HSP90AA1
140572	HSP90AB1
140573	-
140574	-
140575	HSP90AA2
140576	-
140580	HSF1
140581	HSF2
140600	-
140700	-
140750	ST5
140850	-
140900	-
141000	-
141180	NCKAP1L
141200	-
141250	HMOX1
141251	HMOX2
141300	-
141350	-
141400	-
141405	-
141500	-
141700	-
141749	-
141750	-
141800	HBA1
141850	HBA2
141860	-
141900	HBB
141940	-
142000	HBD
142100	HBE1
142200	HBG1
142210	HIST1H1D
142220	HIST1H1E
142230	CD34
142240	HBQ1
142250	HBG2
142270	-
142290	HPX
142300	-
142309	-
142310	HBZ
142330	-
142333	-
142335	HPFH2
142340	DIH1
142350	-
142360	SERPIND1
142370	HCK
142380	-
142385	HLF
142390	-
142395	-
142400	-
142408	MST1
142409	HGF
142410	HNF1A
142420	-
142440	HPN
142445	NRG1
142450	-
142460	SDC2
142461	HSPG2
142470	-
142500	-
142510	-
142550	-
142560	DDX39B
142570	HK3
142580	PRRC2A
142590	BAG6
142600	HK1
142610	GPANK1
142620	ABHD16A
142622	HPCA
142623	-
142625	-
142630	-
142640	HRG
142660	-
142669	-
142680	-
142690	-
142695	HDLBP
142700	-
142701	HTN1
142702	HTN3
142703	HRH2
142704	HDC
142705	HRC
142708	H1F0
142709	HIST1H1A
142710	HIST1H1C
142711	HIST1H1B
142712	HIST1H1T
142720	HIST2H2AA3
142730	-
142750	HIST2H4A
142760	-
142763	H2AFZ
142765	RFX2
142770	-
142780	HIST2H3C
142790	CD74
142795	-
142800	HLA-A
142810	HARS
142830	HLA-B
142840	HLA-C
142850	-
142855	HLA-DMA
142856	HLA-DMB
142857	HLA-DRB1
142858	HLA-DPB1
142860	HLA-DRA
142870	-
142871	HLA-G
142880	HLA-DPA1
142890	-
142900	-
142910	HMGCR
142920	-
142925	-
142930	HLA-DOA
142940	HMGCS1
142945	-
142946	-
142950	HOXA7
142951	HOXA6
142952	HOXA5
142953	HOXA4
142954	HOXA3
142955	HOXA1
142956	HOXA9
142957	HOXA10
142958	HOXA11
142959	HOXA13
142960	HOXB5
142961	HOXB6
142962	HOXB7
142963	HOXB8
142964	HOXB9
142965	HOXB4
142966	HOXB3
142967	HOXB2
142968	HOXB1
142970	HOXC8
142971	HOXC9
142972	HOXC6
142973	HOXC5
142974	HOXC4
142975	HOXC12
142976	HOXC13
142980	HOXD3
142981	HOXD4
142982	HOXD9
142983	MSX1
142984	HOXD10
142985	HOXD8
142986	HOXD11
142987	HOXD1
142988	HOXD12
142989	HOXD13
142990	-
142991	EVX2
142992	HMX1
142993	VSX2
142994	MNX1
142995	HLX
142996	EVX1
143000	-
143010	HLA-E
143020	-
143023	RASSF7
143024	GNL1
143025	HRES1
143030	CD9
143040	-
143050	-
143054	HIVEP2
143055	CCNT1
143060	-
143065	-
143070	-
143080	-
143089	FOXN2
143090	HTLVR
143095	-
143100	-
143110	HLA-F
143150	-
143170	MEA1
143200	-
143400	-
143450	HADHB
143460	HTOR
143465	-
143470	-
143500	-
143850	-
143860	-
143870	-
143880	-
143890	-
144010	-
144020	-
144050	-
144100	-
144110	-
144120	-
144150	-
144190	-
144200	-
144250	-
144300	-
144400	-
144600	-
144650	-
144700	-
144750	-
144755	-
144800	-
145000	-
145001	-
145100	-
145200	-
145250	-
145260	-
145270	-
145290	-
145295	-
145300	-
145350	-
145400	-
145410	-
145420	-
145500	-
145505	ACSM3
145590	-
145600	-
145650	-
145680	-
145700	HTC1
145701	-
145750	-
145800	-
145900	-
145980	-
145981	-
146000	-
146110	-
146150	-
146160	-
146200	-
146255	-
146300	-
146350	-
146390	-
146400	-
146450	-
146500	-
146510	-
146520	-
146530	-
146550	-
146580	-
146590	-
146600	-
146630	ICAM2
146631	ICAM3
